NEW GAME: Checking it Twice!<span style='color: blue;'>Guest [ Storyteller ] : [2D10] 10
<span style='color: blue;'>Guest [ Storyteller ] : [2D10] 11
<span style='color: blue;'>Guest [ Storyteller ] : [HIT] MIDSECTION (STOMACH/LOWER BACK)
<span style='color: blue;'>Guest [ Storyteller ] : [%] 56
<span style='color: blue;'>Guest [ Storyteller ] : Major Success: 22 or less
<span style='color: blue;'>Guest [ Storyteller ] : Direct Success: 23 - 44
<span style='color: blue;'>Guest [ Storyteller ] : Minor Success: 45 - 68
<span style='color: blue;'>Guest [ Storyteller ] : Minor Failure: 69 - 80
<span style='color: blue;'>Guest [ Storyteller ] : Direct Failure: 81 - 91
<span style='color: blue;'>Guest [ Storyteller ] : Major Failure: 90 or more
<span style='color: blue;'>Guest [ Storyteller ] : jajaja 
<span style='color: blue;'>Guest [ Storyteller ] : Major Success: 25 or less
<span style='color: blue;'>Guest [ Storyteller ] : Direct Success: 26 - 50
<span style='color: blue;'>Guest [ Storyteller ] : Minor Success: 51 - 76
<span style='color: blue;'>Guest [ Storyteller ] : Minor Failure: 77 - 85
<span style='color: blue;'>Guest [ Storyteller ] : Direct Failure: 86 - 93
<span style='color: blue;'>Guest [ Storyteller ] : Major Failure: 93 or more
<span style='color: blue;'>Guest [ Storyteller ] : blablabla 
<span style='color: blue;'>Guest [ Storyteller ] : Direct Success: 29 - 56
<span style='color: blue;'>Guest [ Storyteller ] : Major Success: 28 or less
<span style='color: blue;'>Guest [ Storyteller ] : Minor Success: 57 - 84
<span style='color: blue;'>Guest [ Storyteller ] : Minor Failure: 85 - 90
<span style='color: blue;'>Guest [ Storyteller ] : Direct Failure: 91 - 95
<span style='color: blue;'>Guest [ Storyteller ] : Major Failure: 96 or more
<span style='color: blue;'>Guest [ Storyteller ] : lala 
<span style='color: blue;'>Guest [ Storyteller ] : [HIT] RIGHT SHOULDER
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : MAP UPDATED
<span style='color: blue;'>Guest [ Storyteller ] : Major Success: 22 or less
<span style='color: blue;'>Guest [ Storyteller ] : Direct Success: 23 - 44
<span style='color: blue;'>Guest [ Storyteller ] : Minor Success: 45 - 66
<span style='color: blue;'>Guest [ Storyteller ] : Minor Failure: 67 - 78
<span style='color: blue;'>Guest [ Storyteller ] : Direct Failure: 79 - 89
<span style='color: blue;'>Guest [ Storyteller ] : Major Failure: 90 or more
<span style='color: blue;'>Guest [ Storyteller ] : Major Success: 22 or less
<span style='color: blue;'>Guest [ Storyteller ] : Direct Success: 23 - 44
<span style='color: blue;'>Guest [ Storyteller ] : Minor Success: 45 - 66
<span style='color: blue;'>Guest [ Storyteller ] : Direct Failure: 79 - 89
<span style='color: blue;'>Guest [ Storyteller ] : Minor Failure: 67 - 78
<span style='color: blue;'>Guest [ Storyteller ] : Major Failure: 90 or more
<span style='color: blue;'>Guest [ Storyteller ] : Major Success: 22 or less
<span style='color: blue;'>Guest [ Storyteller ] : Direct Success: 23 - 44
<span style='color: blue;'>Guest [ Storyteller ] : Minor Success: 45 - 66
<span style='color: blue;'>Guest [ Storyteller ] : Minor Failure: 67 - 78
<span style='color: blue;'>Guest [ Storyteller ] : Direct Failure: 79 - 89
<span style='color: blue;'>Guest [ Storyteller ] : Major Failure: 90 or more
<span style='color: blue;'>Guest [ Storyteller ] : Major Success: 22 or less
<span style='color: blue;'>Guest [ Storyteller ] : Direct Success: 23 - 44
<span style='color: blue;'>Guest [ Storyteller ] : Minor Success: 45 - 66
<span style='color: blue;'>Guest [ Storyteller ] : Minor Failure: 67 - 78
<span style='color: blue;'>Guest [ Storyteller ] : Direct Failure: 79 - 89
<span style='color: blue;'>Guest [ Storyteller ] : Major Failure: 90 or more
<span style='color: blue;'>Guest [ Storyteller ] : Major Success: 22 or less
<span style='color: blue;'>Guest [ Storyteller ] : Direct Success: 23 - 44
<span style='color: blue;'>Guest [ Storyteller ] : Minor Success: 45 - 66
<span style='color: blue;'>Guest [ Storyteller ] : Minor Failure: 67 - 78
<span style='color: blue;'>Guest [ Storyteller ] : Direct Failure: 79 - 89
<span style='color: blue;'>Guest [ Storyteller ] : Major Failure: 90 or more
<span style='color: blue;'>Guest [ Storyteller ] : [HIT] RIGHT RIBS
<span style='color: blue;'>Guest [ Storyteller ] : Major Success: 22 or less
<span style='color: blue;'>Guest [ Storyteller ] : Direct Success: 23 - 44
<span style='color: blue;'>Guest [ Storyteller ] : Minor Success: 45 - 66
<span style='color: blue;'>Guest [ Storyteller ] : Minor Failure: 67 - 78
<span style='color: blue;'>Guest [ Storyteller ] : Direct Failure: 79 - 89
<span style='color: blue;'>Guest [ Storyteller ] : Major Failure: 90 or more
